PRODUCT NAME ,ITEM CODE,CATEGORY,SUBCATEGORY,BRAND ,HS CODE,MODEL SERIES ,MDR ,COLOR/TAGS,PACK NAME ,PCS PER PACK ,,
TB DEVICE ,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0005756,,1X40,40,,
DENGUE IGG/IGM DEVICE ,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0005755,,1X40,40,,
TROP I,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0005758,,1X40,40,,
DENGUE COMBO DEVICE ,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0005759,,1X40,40,,
HCG DEVICE ,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0010834,,1X40,40,,
TOXOPLASMA KIT 25 TEST ,,RAPID DEVICES ,RIGHTSIGN,RIGHTSIGN,3822.1900,,0006865,,1X40,40,,
DENGUE IGG/IGM DEVICE ,O1,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
HBSAG DEVICE ,O2,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
HCV DEVICE ,O3,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
HIV DEVICE ,O4,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
MALARIA PF/PV DEVICE ,O5,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
SYPHILIS DEVICE ,O6,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
TYPHIOD DEVICE ,O7,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
DENGUE  NS1  DEVICE,O8,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
H.PAYLORI   DEVICE ,O9,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
MALARIA PF/ PAN DEVICE ,O10,RAPID DEVICES ,OTHER ,OTHER ,3822.1900,,,,1X25,25,,
COMBOSTIK-10        1X100,U1,URINE STRIPS,DFI,DFI,3822.1900,,,,1X100,1,,
COMBOSTIK-10        1X150,U2,URINE STRIPS,DFI,DFI,3822.1900,,,,1X100,1,,
COMBOSTIK-10 M (150 T),U3,URINE STRIPS,DFI,DFI,3822.1900,,,,1X100,1,,
COMBUR-10   1X100,U4,URINE STRIPS,ROCHE,ROCHE,3822.1900,,0004453,,1X100,1,,
EDTA  K2  13X75  2 ML GLASS,B1,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
EDTA  K2  13X75  3 ML GLASS,B2,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
EDTA K2 2ML PET ,B3,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
EDTA K2 3 ML PET,B4,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
EDTA K3 10 ML 16X100 GLASS ,B5,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
EDTA K3 TUBE 0.5ML ,B6,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
EDTA K3 TUBE 13X75 GLASS 2 ML ,B7,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
